id	Latitude	Longitude	Order	ifhqmag
448	39.98	113.88	Eurotiomycetes	0
449	27.735277778	117.637777778	Lecanoromycetes	0
450	27.738611111	117.712777778	Lecanoromycetes	0
451	27.726666667	117.704722222	Lecanoromycetes	0
452	37.513055556	105.186666667	Lecanoromycetes	0
453	38.577222222	102.977777778	Eurotiomycetes	0
454	38.585555556	102.973888889	Eurotiomycetes	1
455	38.585555556	102.973888889	Eurotiomycetes	1
456	37.383888889	97.145555556	Eurotiomycetes	0
457	37.384166667	104.761666667	Eurotiomycetes	0
458	37.384166667	104.761666667	Eurotiomycetes	1
459	37.383888889	97.145555556	Lecanoromycetes	0
460	37.513055556	105.186666667	Lecanoromycetes	1
461	37.513055556	105.186666667	Lecanoromycetes	0
462	31.103055556	115.7725	Lecanoromycetes	0
463	31.103055556	115.7725	Lecanoromycetes	0
464	27.710833333	117.6425	Lecanoromycetes	0
465	27.84	117.772222222	Lecanoromycetes	0
466	51.931388889	123.106111111	Lecanoromycetes	1
467	51.852222222	121.865	Lecanoromycetes	1
468	28.211944444	107.168888889	Lecanoromycetes	0
469	28.216666667	107.184444444	Lecanoromycetes	0
470	25.923333333	103.085277778	Lecanoromycetes	0
471	27.860555556	117.783333333	Lecanoromycetes	0
472	25.647222222	100.142777778	Lecanoromycetes	0
473	31.090555556	115.780833333	Lecanoromycetes	1
474	37.383333333	104.6	Lecanoromycetes	1
475	30.256111111	104.171944444	Lecanoromycetes	0
476	37.263333333	121.716388889	Lecanoromycetes	1
477	51.453055556	124.253055556	Lecanoromycetes	0
478	-62.218819444	-58.956919444	Lecanoromycetes	0
479	27.732777778	117.638055556	Lecanoromycetes	1
480	27.738611111	117.712777778	Lecanoromycetes	1
481	27.738611111	117.712777778	Lecanoromycetes	0
482	27.696388889	117.643888889	Lecanoromycetes	0
483	28.211944444	107.168888889	Lecanoromycetes	0
484	24.82	103.86	Lecanoromycetes	0
485	31.103055556	115.7725	Lecanoromycetes	0
486	31.103055556	115.7725	Lecanoromycetes	0
487	31.415	115.303333333	Lecanoromycetes	0
488	30.976111111	116.112777778	Lecanoromycetes	0
489	-62.218819444	-58.956919444	Lecanoromycetes	0
490	27.738611111	117.712777778	Lecanoromycetes	0
491	-62.218819444	-58.956919444	Lecanoromycetes	0
492	31.618611111	114.83	Lecanoromycetes	0
493	39.838055556	115.573333333	Lichinomycetes	1
494	37.340833333	97.216666667	Lichinomycetes	0
495	37.383888889	97.145555556	Lichinomycetes	0
496	31.803611111	114.075	Lecanoromycetes	1
497	31.803611111	114.075	Lecanoromycetes	1
498	39.931388889	116.367777778	Lecanoromycetes	0
499	-62.218819444	-58.956919444	Lecanoromycetes	0
500	-62.218819444	-58.956919444	Lecanoromycetes	0
501	43.519722222	117.215277778	Lecanoromycetes	0
502	37.869722222	95.265	Eurotiomycetes	0
503	36.958611111	98.900833333	Eurotiomycetes	0
504	44.498333333	87.4725	Eurotiomycetes	0
505	27.732777778	117.638055556	Lecanoromycetes	0
506	27.738611111	117.712777778	Lecanoromycetes	0
507	27.738611111	117.712777778	Lecanoromycetes	0
508	37.633333333	97.233333333	Lecanoromycetes	0
509	37.383333333	104.6	Lecanoromycetes	0
510	37.513055556	105.186666667	Lecanoromycetes	0
511	30.976111111	116.112777778	Lecanoromycetes	0
512	31.633055556	114.835555556	Lecanoromycetes	0
513	31.633055556	114.835555556	Lecanoromycetes	1
514	31.585	114.629722222	Lecanoromycetes	0
515	44.231666667	118.694722222	Lecanoromycetes	0
516	39.22355	-123.75767	Lecanoromycetes	0
517	39.22355	-123.75767	Lecanoromycetes	0
518	49.083333333	87.5	Lecanoromycetes	0
519	51.579444444	120.056666667	Lecanoromycetes	0
520	37.513055556	105.186666667	Lecanoromycetes	0
521	25.898611111	110.433611111	Lecanoromycetes	1
522	31.725	115.540277778	Lecanoromycetes	0
523	43.770277778	130.027777778	Lecanoromycetes	1
524	31.103055556	115.7725	Lecanoromycetes	0
525	27.738611111	117.712777778	Lecanoromycetes	0
526	24.533333333	101.016666667	Lecanoromycetes	0
527	-62.218819444	-58.956919444	Lecanoromycetes	1
528	43.770277778	130.027777778	Lecanoromycetes	1
529	-62.218819444	-58.956919444	Lecanoromycetes	1
530	27.828611111	117.726111111	Lecanoromycetes	0
531	31.803611111	114.075	Lecanoromycetes	0
532	31.631944444	114.842777778	Lecanoromycetes	0
533	37.513055556	105.186666667	Lecanoromycetes	0
